word,frequency
subject,3734
lexan,6
polish,24
jeff,108
jonathan,128
jefferies,6
article,3486
wilken,10
scott,68
write,4202
couple,228
year,1050
ago,292
replace,130
stock,120
windscreen,12
interceptor,20
high,424
one,2906
national,420
cycle,84
thing,1260
happen,536
make,2600
anyone,696
recommend,134
use,1676
safe,160
start,720
show,700
scratch,72
I,4
d,28
like,2300
go,3064
fast,252
internet,150
ama,254
take,1650
chance,216
uucp,104
uunet,310
plain,60
bitnet,8
suggest,296
mcquire,4
plastic,78
help,500
somewhat,52
nothing,488
remove,112
deep,54
without,502
bad,426
already,392
something,868
fine,184
light,252
stuff,274
also,1098
call,650
local,268
shop,140
tap,26
chain,236
carry,236
need,1090
repair,38
sometimes,126
replacement,56
bit,292
telephone,38
bay,52
area,420
sure,704
amenable,2
shipping,24
find,794
several,236
excellent,50
product,56
clean,140
crap,44
face,388
shield,32
work,1288
real,376
well,1928
sticky,16
adhessive,2
wihtout,2
luck,80
blgardne,10
dance,36
biker,276
faq,62
periodic,8
post,726
intend,90
answer,386
frequently,44
ask,644
question,994
first,1002
month,318
expiration,4
time,1596
thus,120
unless,236
site,78
news,340
software,42
always,376
available,188
witdodfaq,2
crossposte,4
four,218
group,592
attempt,248
catch,94
new,1500
user,98
followup,22
direct,100
last,780
change,506
add,172
message,140
kotl,44
halon,2
version,66
collection,24
originally,28
assemble,26
lissa,8
shoun,8
original,146
posting,68
permission,22
usurped,2
title,44
kotwitdodfaq,2
correction,8
addition,66
bribe,8
etc,348
aim,44
content,20
get,3188
number,754
blaine,122
gardner,118
road,410
rider,424
bruce,80
tanner,28
john,278
sloan,16
logo,10
chuck,86
roger,72
denizen,88
doom,58
anthem,4
quist,76
kill,376
courtesy,12
patch,64
letter,162
museum,40
jim,112
rogers,54
director,86
rule,328
consensus,40
resource,88
various,78
keeper,54
misc,10
loki,6
jorgenson,4
update,22
stat,10
ride,1222
info,138
ed,370
green,190
other,322
second,276
must,442
simple,124
list,602
accept,194
substitue,2
feel,460
creative,28
favorite,24
request,144
approval,22
warning,66
likely,226
earn,30
flame,256
will,232
pay,604
oh,284
little,642
tiny,24
suggestion,120
play,188
lightning,16
rod,28
whole,252
net,158
look,1210
clueless,16
newbie,66
probably,426
note,300
secret,170
leave,642
around,518
un,22
subtle,20
hint,36
divulge,8
mention,232
name,324
maybe,322
though,392
keep,680
true,374
spirit,40
unix,16
two,904
long,608
spell,26
entirely,76
hexadecimal,4
character,18
share,68
orient,6
text,18
utility,10
third,142
occasionally,18
see,1560
bestow,2
mostly,38
bonehead,4
weenie,14
mailer,6
fourth,24
reason,476
suspect,84
newsflash,2
surmount,2
intellectual,58
pinnacle,4
electronically,10
grovel,2
please,506
mind,254
indeed,108
live,507
pacify,2
boss,26
do,444
may,850
languish,4
mail,160
queue,12
gasp,10
day,850
perhaps,282
even,1132
horror,10
week,390
economic,262
activity,168
part,582
employer,162
send,266
yet,376
another,498
copy,58
speed,248
processing,2
verification,4
phenominon,2
excersize,2
reader,56
problem,748
least,480
annotate,2
subsequent,10
indication,30
former,174
submit,64
lest,4
assign,22
multiple,46
think,2518
memorize,6
say,2856
telepathic,2
power,572
provide,402
information,284
ya,48
typical,84
entry,16
contain,86
address,200
example,288
can,762
ps,26
access,142
bike,2094
requirement,40
membership,58
strictly,12
lack,98
denizens,2
august,20
reprint,6
motorcyclist,78
together,242
normal,90
bunch,108
discuss,208
motorcycle,634
motorcycling,32
beverage,2
fluid,6
baklavah,2
balaclava,2
caltrop,2
helmet,438
spine,6
protector,16
aerodynamic,2
valve,92
seat,172
bird,8
hit,190
deer,12
whistle,4
good,1562
restaurant,10
race,140
philosophy,78
traffic,160
law,956
ticket,112
corrosion,2
control,328
personality,22
pun,12
double,66
entendre,2
culture,94
absence,12
friendship,4
argue,108
plan,398
difference,288
club,94
although,138
everyday,14
never,644
member,354
know,2218
world,504
communicate,26
via,88
computer,132
range,106
laptop,2
dollar,152
center,120
people,2744
college,114
university,368
student,168
industry,80
professional,40
electronic,20
currently,82
pronounce,6
file,144
primary,78
meeting,172
place,582
per,98
read,512
estimate,58
frequent,8
poster,34
belong,60
usually,158
refer,123
nickerson,4
parody,4
design,170
poke,6
fun,120
stereotype,38
fellow,52
enthusiast,12
robinson,82
pen,6
later,192
sign,152
nr,8
designate,16
