word,frequency
subject,2046
lexan,6
polish,24
jeff,74
jonathan,120
jefferies,6
article,1588
wilken,10
scott,16
write,2012
couple,128
year,334
ago,100
replace,90
stock,104
windscreen,12
interceptor,20
high,150
one,1156
national,20
cycle,72
thing,518
happen,168
make,778
anyone,388
recommend,88
use,596
safe,62
start,266
show,178
scratch,60
I,2
d,16
like,1158
go,1162
fast,214
internet,88
ama,234
take,652
chance,88
uucp,16
uunet,72
plain,18
bitnet,4
suggest,68
mcquire,4
plastic,72
help,232
somewhat,26
nothing,168
remove,78
deep,32
without,168
bad,186
already,88
something,288
fine,100
light,208
stuff,194
also,390
call,202
local,96
shop,106
tap,26
chain,212
carry,134
need,524
repair,32
sometimes,54
replacement,46
bit,164
telephone,8
bay,36
area,176
sure,258
amenable,2
shipping,24
find,304
several,74
excellent,28
product,26
clean,102
crap,12
face,154
shield,18
work,416
real,178
well,800
sticky,14
adhessive,2
wihtout,2
luck,62
blgardne,10
dance,24
biker,276
faq,60
periodic,4
post,336
intend,22
answer,102
frequently,12
ask,190
question,300
first,408
month,78
expiration,4
time,616
thus,38
unless,120
site,24
news,52
software,34
always,138
available,94
witdodfaq,2
crossposte,4
four,48
group,100
attempt,38
catch,62
new,546
user,16
followup,6
direct,8
last,290
change,194
add,44
message,70
kotl,44
halon,2
version,26
collection,6
originally,14
assemble,16
lissa,8
shoun,8
original,56
posting,22
permission,8
usurped,2
title,12
kotwitdodfaq,2
correction,8
addition,22
bribe,2
etc,172
aim,14
content,8
get,1616
number,152
blaine,122
gardner,116
road,376
rider,422
bruce,52
tanner,28
john,190
sloan,10
logo,4
chuck,86
roger,26
denizen,88
doom,54
anthem,4
quist,76
kill,90
courtesy,6
patch,60
letter,38
museum,26
jim,68
rogers,54
director,16
rule,84
consensus,6
resource,8
various,34
keeper,52
misc,2
loki,6
jorgenson,4
update,12
stat,4
ride,1206
info,88
ed,274
green,182
other,66
second,134
must,156
simple,44
list,388
accept,22
substitue,2
feel,202
creative,6
favorite,20
request,98
approval,2
warning,32
likely,68
earn,8
flame,188
will,90
pay,140
oh,130
little,368
tiny,16
suggestion,90
play,48
lightning,16
rod,26
whole,64
net,70
look,574
clueless,4
newbie,66
probably,196
note,84
secret,8
leave,358
around,274
un,8
subtle,12
hint,20
divulge,2
mention,108
name,178
maybe,180
though,156
keep,334
true,108
spirit,24
unix,14
two,392
long,252
spell,10
entirely,18
hexadecimal,4
character,4
share,18
orient,2
text,8
utility,2
third,28
occasionally,14
see,644
bestow,2
mostly,14
bonehead,2
weenie,12
mailer,6
fourth,12
reason,134
suspect,26
newsflash,2
surmount,2
intellectual,2
pinnacle,4
electronically,8
grovel,2
please,278
mind,104
indeed,16
live,200
pacify,2
boss,8
do,142
may,336
languish,2
mail,108
queue,12
gasp,4
day,308
perhaps,78
even,394
horror,6
week,160
economic,2
activity,20
part,166
employer,48
send,132
yet,118
another,186
copy,40
speed,220
processing,2
verification,2
phenominon,2
excersize,2
reader,36
problem,270
least,250
annotate,2
subsequent,2
indication,6
former,78
submit,8
lest,4
assign,6
multiple,14
think,616
memorize,6
say,744
telepathic,2
power,110
provide,70
information,60
ya,34
typical,26
entry,4
contain,28
address,76
example,62
can,332
ps,16
access,62
bike,2094
requirement,16
membership,42
strictly,4
lack,20
denizens,2
august,16
reprint,4
motorcyclist,78
together,80
normal,50
bunch,22
discuss,30
