word,frequency
mpye,4
subject,1688
media,3
horrify,4
perot,24
investigate,30
bush,144
visser,48
lance,28
write,2190
can,430
find,490
source,116
state,906
retract,10
claim,274
go,1902
dig,8
one,1750
library,10
fair,68
enough,298
serious,86
talk,502
anything,436
produce,90
something,580
top,186
head,128
would,2586
assume,180
memory,14
put,440
without,334
condition,88
yes,402
substantiate,4
statement,288
rudman,2
say,2112
believe,816
error,34
point,590
provide,332
give,668
reason,342
trouble,80
will,142
agree,256
simple,80
know,1444
time,980
waste,96
blow,42
tripe,4
usually,46
post,390
michael,138
pye,2
email,28
bob,84
blackshaw,16
damn,74
ferigner,14
take,998
peter,44
nelson,22
article,1898
cos,8
norway,8
appear,134
place,388
although,82
always,238
escape,32
understanding,14
appeal,46
allegedly,12
rational,34
people,2398
scheme,16
might,394
king,164
olav,2
v,12
whoever,8
atla,4
right,1230
special,80
legal,184
status,52
title,32
base,266
mere,16
accident,22
birth,32
begin,172
quite,202
inexpensive,14
compare,132
six,46
former,96
president,1572
still,466
alive,20
draw,60
pension,16
expense,32
account,112
secret,162
service,350
protection,54
maybe,142
corporate,20
world,364
sop,2
retire,10
senior,144
executive,44
nice,74
etc,176
perform,34
part,416
compensation,8
package,320
royal,28
free,350
ride,16
bear,92
well,1128
do,302
nothing,320
ps,10
country,492
dissimilar,2
occur,86
bull,14
cow,10
familiar,10
cattle,6
breed,16
dreitman,16
daniel,54
reitman,26
attorney,196
bill,356
conklin,10
letter,124
ajteel,44
teel,72
main,44
human,292
yet,258
bind,28
contract,28
wrong,248
possible,186
inherit,8
debt,58
third,114
party,340
see,916
constitution,242
united,340
states,340
specifically,58
mention,124
oath,8
make,1822
affirmation,2
uphold,14
const,4
obey,22
statute,44
please,228
anyone,308
show,522
case,580
consider,518
design,78
limit,86
power,462
government,1426
also,708
delineate,2
argument,288
present,230
great,236
detail,102
next,252
wait,110
deed,12
involve,200
construction,38
conveyance,8
grantee,8
jointly,16
tenant,42
common,92
equal,140
interest,226
land,162
survivor,74
thereof,30
fee,40
hold,282
unto,8
hereto,8
equally,34
period,82
term,214
lives,7
death,242
court,254
survivorship,8
provision,42
indicate,72
intent,32
create,240
joint,54
tenancy,8
germain,8
delaine,8
traffic,22
writes,36
mcdonald,6
dismiss,16
justice,188
whose,104
authority,96
ground,158
win,124
tax,464
jamesdon,6
james,56
donald,10
protester,20
legally,50
correct,112
jail,32
anyway,102
hello,12
sloan,6
decision,412
mean,738
protestor,8
weakness,12
position,176
fact,546
someone,348
protest,22
gun,300
law,804
get,1572
federal,322
jury,78
trial,190
rare,22
fed,50
blatantly,8
stack,18
old,156
face,234
turn,156
demonstrate,56
rule,244
procedure,42
unlikely,26
however,222
though,236
advice,68
sound,108
follow,222
probably,230
wind,34
discussion,172
purpose,126
unsound,6
represent,74
try,666
procedural,8
approach,148
could,794
recommend,46
set,282
hot,48
water,62
stephen,48
demo,2
nonsense,14
lie,158
cramer,972
clayton,582
homosexual,650
number,602
long,356
politician,62
run,200
scared,8
course,270
surprise,56
sure,446
first,594
figure,198
may,514
low,246
depend,80
keep,346
mind,150
heterosexual,132
actually,288
gay,656
choose,146
road,34
avoid,78
harass,6
want,1040
everyone,180
person,330
let,482
irrational,36
behavior,90
call,448
liar,24
even,738
start,454
support,496
corrupt,40
criminal,130
nature,122
kinsey,230
work,872
much,716
justification,32
rights,6
modern,14
era,18
step,84
back,500
moment,60
question,694
rest,120
crap,32
news,288
medium,175
definitive,6
label,10
like,1142
factually,8
scientific,36
journal,30
wsj,8
relation,170
mutual,144
consent,188
interesting,108
realize,110
many,650
thing,742
life,362
require,188
occasion,28
mutually,8
evidence,254
kane,38
young,216
star,52
cjk,2
privacy,20
home,108
problem,478
various,44
sp,10
moral,138
heterosexuality,10
offend,18
newspaper,38
publicly,40
announce,86
wedding,6
nutpial,2
public,384
eye,36
ban,22
wear,48
ring,30
recognition,12
marriage,20
sexual,372
mix,22
difference,186
minority,188
freedom,194
help,268
obnoxious,2
group,492
stay,52
predesignate,2
area,244
majority,154
since,476
queer,76
nation,150
become,244
increasingly,8
belligerent,4
demonstration,18
violence,64
rise,98
remind,52
crazy,22
beat,108
presence,22
aggravate,4
crime,370
prevention,6
extrapolate,14
display,26
private,486
property,188
nasty,8
theif,2
carry,102
money,478
way,866
mugger,2
bother,24
either,210
dangerous,64
child,770
tell,610
immoral,52
homosexuality,140
promiscuity,30
fetishism,4
characterize,20
predatory,2
component,24
glorifie,2
pursuit,10
hairless,2
cock,2
word,286
le,16
jojo,4
typical,58
oh,154
stop,250
sweeping,2
generalization,8
reality,52
hope,220
comment,170
lot,356
conjecture,4
arf,16
jack,34
schmidling,12
miss,74
sgoldste,6
fogbound,6
babb,8
scott,52
jonathan,8
cook,34
restrict,46
condemnation,6
racial,26
strife,6
israel,12
situation,334
bosnia,110
tibet,4
china,14
merit,22
far,294
aware,74
send,134
close,132
billion,188
dollar,128
exaggerate,4
notice,62
offer,134
alternative,64
size,38
year,716
american,538
taxpayer,30
every,304
milky,4
galaxy,4
look,636
tzs,18
tim,88
smith,128
indeed,92
read,258
suggest,228
defendant,14
fall,126
two,512
class,144
relate,74
lose,132
newman,8
schiff,14
cite,78
tv,64
section,64
internal,12
revenue,72
code,70
individual,182
file,70
return,66
rebroadcast,2
morning,164
extended,2
original,90
broadcast,14
accept,172
unilateral,30
form,122
pay,464
reward,24
starowl,26
adams,62
california,114
insurance,492
commissioner,22
endorse,28
legislation,68
protect,194
consumer,56
scam,20
company,178
rick,32
richard,98
warner,4
bureaucrat,12
regulator,18
duty,40
enforce,40
difficult,118
us,174
actuary,4
champaign,4
il,4
southeast,8
al,86
thrush,4
system,552
master,66
slave,88
napoleon,4
solo,4
man,788
sick,40
tired,30
et,42
richw,6
rich,118
wale,6
joe,50
schmoe,4
regular,42
employee,74
earn,22
wage,46
refuse,84
income,152
haul,8
convict,42
wilful,4
sion,4
conviction,56
overturn,8
supreme,68
landmark,4
totally,42
voluntary,38
exist,118
hmmm,34
wonder,108
unless,116
note,216
mixed,4
come,746
guy,132
worker,58
circuit,8
brief,74
example,226
shot,22
certiorari,2
deny,104
julie,42
kangas,16
ten,138
aid,170
russians,66
roby,32
w,28
tip,26
hat,12
david,276
letterman,6
format,10
popular,72
conservative,98
russia,254
around,244
disclaimer,104
opinion,440
belong,52
cat,12
else,260
mwilson,66
mark,238
wilson,94
kevin,22
darcy,6
allow,212
abrogate,2
constitutional,72
privilege,16
enjoy,36
abrogation,4
compelling,18
standard,130
relevant,50
granting,2
definition,76
impinge,4
another,312
degree,42
abortion,98
establish,68
unborn,16
greatly,20
pregnant,4
woman,200
sufficient,64
fetal,10
satisfaction,4
convince,70
other,256
mob,54
pretty,156
merely,84
ai,38
charity,38
use,1080
theory,92
relativity,24
related,18
rodney,54
civil,154
violation,44
double,64
jeopardy,42
spanagel,8
never,348
hear,320
ever,230
violate,92
decide,196
miranda,2
escobedo,2
institutions,2
de,30
facto,6
similar,76
past,154
several,162
south,198
prosecute,8
murder,192
black,238
white,442
clear,124
accusse,2
specific,190
charge,184
four,170
lapd,6
officer,200
accuse,50
general,452
concern,124
verdict,82
koon,12
upon,150
action,384
think,1902
ss,4
previously,40
seperate,18
essence,12
sovereign,8
apply,118
true,266
defendent,10
city,176
county,38
paper,90
aclu,14
reinstate,4
opposition,30
kind,398
early,140
suspend,4
examine,32
evasion,14
unpatriotic,18
rja,32
ben,4
dad,4
ife,4
lip,14
loren,6
petrich,6
isaac,8
asimov,4
curious,48
everything,116
battle,66
pc,6
patrioticly,2
certainly,222
collapse,46
soviet,48
union,56
pentagon,4
stand,212
collect,66
name,146
draft,50
taxis,232
cease,12
patriotic,2
important,262
dodge,12
answer,284
armed,92
mine,234
strange,32
thread,32
unanimous,8
tear,84
piece,36
prison,46
cir,2
aff,2
g,2
f,46
supp,2
joseph,18
stalin,2
idea,350
powerful,42
enemy,50
pcollac,4
paul,142
collacchi,6
supply,94
side,178
economic,260
policy,230
stockman,10
ashish,8
arora,8
excerpt,20
po,20
boomer,98
deficit,168
decline,72
reach,106
gnp,30
spending,90
hike,22
reverse,18
trend,40
brett,62
appreciate,26
cheer,12
datum,160
remember,192
rate,234
growth,36
derivative,6
total,120
respect,88
decrease,34
apparently,62
numb,4
spend,222
keeps,4
grow,92
less,280
borrow,18
increase,218
exceed,14
figgie,2
book,134
paint,8
real,198
pictorially,2
gory,2
essentially,38
twice,36
half,96
simply,234
awful,22
unbelievable,4
really,450
rigorous,6
aside,54
pledge,6
night,124
channel,6
economist,12
hour,58
presentation,18
predictive,2
largely,14
population,228
brilliant,10
confirm,38
we,626
sense,144
boom,16
particularly,76
cause,216
activity,148
explain,132
watch,112
wave,40
roll,14
cycle,12
model,48
prediction,30
middle,64
century,42
neat,8
accurate,30
hagenjd,8
jeff,34
hagen,8
tricky,2
dick,10
issue,448
stern,4
warning,34
clinton,578
la,54
steveh,190
steve,232
hendrick,156
price,126
control,266
medical,98
care,556
govt,90
slagle,6
thank,156
kim,4
bring,218
cost,266
fails,6
kidney,10
dialysis,8
rd,10
expand,20
massively,2
last,490
decade,70
force,502
provider,26
treatment,100
accord,100
information,224
loss,50
cut,146
engage,98
effective,48
ration,20
rather,204
coverage,90
large,276
market,136
must,286
compensate,4
raise,160
perhaps,204
competitive,16
advantage,26
reputable,4
dedicated,6
physician,18
prefer,44
affiliate,4
institution,42
therefore,62
tend,36
admit,102
patient,46
full,138
range,66
diagnostic,2
option,270
undoubtedly,4
hospital,114
frequently,32
compete,22
complicate,6
undermine,16
